"Регулировка мощности";"Вес";"Уровень шума";"Тип инфракрасного обогревателя";"Уровни мощности";"Защитные функции";"Установка тепловой завесы";"Изображение";"Термостат";"Количество секций";"Максимальный воздухообмен";"Наименование";"Габариты (ШхВхГ)";"Тип";"Напряжение";"Поворот корпуса";"Удобство использования";"Потребляемая энергия";"Тип нагревательного элемента";"Вентиляция без нагрева";"Дополнительная информация";"Каминный эффект";"Ионизатор";"Цена";"Управление";"Пылевой фильтр";"Увлажнитель";"Варианты монтажа";"Площадь обогрева";"Максимальный нагрев поверхности";"Вентилятор";"Мощность обогрева";"Таймер"
"есть";15.1;0;"";"6000/4000 Вт";"";"высота установки 2.30 - 3 м";"aeronikac-09-6h-1.jpg";"";"";"1040 куб.м/ч";"Aeronik AC 09-6H-1";"95x26.8x22.3 см";"тепловая завеса";"220/230 В";"";"";0;"";"";"";"";"";6450;"электронное, пульт ДУ";"";"";"настенный";0;"";"есть";0;""
"есть";18.2;0;"";"";"";"высота установки 2.30 - 3.20 м";"aeronikac-12-7s-3.jpg";"";"";"1280 куб.м/ч";"Aeronik AC 12-7S-3";"125x26.7x22.3 см";"тепловая завеса";"380/400 В";"";"";0;"";"";"";"";"";7606;"электронное, пульт ДУ";"";"";"настенный";0;"";"есть";7200;""
"есть";18.2;0;"";"7200/4800 Вт";"";"высота установки 2.30 - 3.10 м";"aeronikac-12-7n-1.jpg";"";"";"1280 куб.м/ч";"Aeronik AC 12-7Н-1";"125x26.8x22.3 см";"тепловая завеса";"220/230 В";"";"";0;"";"есть";"";"";"";7606;"электронное, пульт ДУ";"";"";"настенный";0;"";"есть";0;""
"";22.9;0;"";"";"";"высота установки 2.30 - 3.30 м";"aeronikac-15-9s-3.jpg";"";"";"1670 куб.м/ч";"Aeronik AC 15-9S-3";"155x26.8x22.3 см";"тепловая завеса";"380/400 В";"";"";0;"";"есть";"";"";"";9590;"пульт ДУ";"";"";"настенный";0;"";"есть";9000;""
"есть";22.9;0;"";"";"отключение при перегреве, влагозащитный корпус";"высота установки 2.30 - 3.30 м";"aeronikac-15-9n-3.jpg";"нет";"";"1670 куб.м/ч";"Aeronik AC 15-9Н-3";"155x22.3x26.8 см";"тепловая завеса";"380/400 В";"";"ручка";0;"";"";"";"";"";9650;"пульт ДУ";"";"";"настенный";0;"";"есть";9000;"нет"
"";0.0;0;"";"";"отключение при перегреве, влагозащитный корпус";"";"aeronikc-10m.jpg";"есть";"";"";"Aeronik C 10M";"";"конвектор";"220/230 В";"";"";0;"";"";"";"";"";1700;"механическое";"";"";"настенный";0;"";"";1000;"нет"
"";0.0;0;"";"";"защита от мороза, отключение при перегреве, влагозащитный корпус";"";"aeronikc-15m.jpg";"есть";"";"";"Aeronik C 15M";"60x45x11.5 см";"конвектор";"220/230 В";"";"";0;"";"";"";"";"";1780;"механическое, регулировка температуры";"";"";"настенный";0;"";"";1500;"нет"
"";0.0;0;"";"";"защита от мороза, отключение при перегреве, влагозащитный корпус";"";"aeronikc-20m.jpg";"есть";"";"";"Aeronik C 20M";"74x45x11.5 см";"конвектор";"220/230 В";"";"";0;"";"";"";"";"";1990;"механическое, регулировка температуры";"";"";"настенный";0;"";"";2000;"нет"
"";0.0;0;"";"";"защита от мороза, отключение при перегреве, влагозащитный корпус";"";"aeronikc-25m.jpg";"есть";"";"";"Aeronik C 25M";"89x45x11.5 см";"конвектор";"220/230 В";"";"";0;"";"";"";"";"";2150;"механическое, регулировка температуры";"";"";"настенный";0;"";"";2500;"нет"
"";0.0;0;"";"";"отключение при перегреве, влагозащитный корпус";"";"aeronikifh050-13.jpg";"есть";"";"";"Aeronik IFH050-1/3";"";"тепловая пушка";"220/230 В";"";"ручка";0;"";"есть";"возможность подключения к 380В";"";"";3180;"механическое, регулировка температуры";"";"";"напольный";0;"";"";5000;"нет"
"есть";0.0;0;"";"5000/5000/2500 Вт";"отключение при перегреве, влагозащитный корпус";"";"aeronikifh050-3.jpg";"есть";"";"";"Aeronik IFH050-3";"";"тепловая пушка";"380/400 В";"";"ручка";0;"";"есть";"";"";"";0;"механическое, регулировка температуры";"";"";"напольный";0;"";"";0;"нет"
"есть";0.0;0;"";"9000/4500 Вт";"отключение при перегреве";"";"aeronikifh090-3.jpg";"есть";"";"";"Aeronik IFH090-3";"";"тепловая пушка";"380/400 В";"";"ручка";0;"";"есть";"";"";"";5190;"механическое, регулировка температуры";"";"";"напольный";0;"";"есть";0;"нет"
"есть";0.0;0;"";"12000/6000/115 Вт";"отключение при перегреве";"";"aeronikifh120-3.jpg";"";"";"";"Aeronik IFH120-3";"";"тепловая пушка";"380/400 В";"";"ручка";0;"";"есть";"полностью металлический корпус";"";"";0;"механическое, регулировка температуры";"";"";"напольный";0;"";"есть";0;"нет"
"есть";0.0;0;"";"15000/7500/115 Вт";"отключение при перегреве";"";"aeronikifh150-3.jpg";"есть";"";"";"Aeronik IFH150-3";"";"тепловая пушка";"380/400 В";"";"ручка";0;"";"есть";"";"";"";7500;"механическое, регулировка температуры";"";"";"напольный";0;"";"есть";0;"нет"
